fold,model,RMSE,MAE,R2,Adj_R2,MAPE_pct,Explained_Var
7,Ridge (RidgeCV),0.6010770889222156,0.42293136066591397,0.7272116805211418,0.7230175181675309,24.300874723464464,0.7293227468757162
7,Lasso (LassoCV),0.6068215879634329,0.42847191047634736,0.7219726842619631,0.7176979715353635,24.745854396251943,0.7244248639030213
7,Elastic Net (ElasticNetCV),0.6068215879634329,0.42847191047634736,0.7219726842619631,0.7176979715353635,24.745854396251943,0.7244248639030213
7,XGBoost (tuned),0.4780037122903841,0.3144430423377203,0.8274845638703769,0.8248321125153705,17.071024138358343,0.8282054459413569
7,HuberRegressor (robust),0.6065783866761395,0.4168644833727394,0.7221954945665987,0.7179242075826904,23.43366990764404,0.7249201046704132
8,Linear Regression,0.6156985398858456,0.41642868506958663,0.7150398045998689,0.7106571501027891,22.93177273335893,0.7192603122604742
8,Ridge (RidgeCV),0.6213468910230348,0.4212849740687491,0.7097874348735436,0.7053239995440072,23.282744749043363,0.7146709858639492
8,Lasso (LassoCV),0.6308181114036061,0.42964597515781155,0.7008725558130782,0.6962720106856263,23.778628041287863,0.7071408157553349
8,Elastic Net (ElasticNetCV),0.6308181114036061,0.42964597515781155,0.7008725558130782,0.6962720106856263,23.778628041287863,0.7071408157553349
8,XGBoost (tuned),0.5076108590616856,0.32744850080486965,0.8063088574903846,0.8033299103585849,17.324786184477983,0.808692657852947
8,HuberRegressor (robust),0.6258577384422094,0.4153279710695729,0.7055583752899732,0.7010298975183641,22.607965669959317,0.7115960832970273
9,Linear Regression,0.6031099860032033,0.41373742888985277,0.7167436288305538,0.7123871789509868,23.849882839506744,0.7192702906421822
9,Ridge (RidgeCV),0.6178288295858105,0.4269063637494242,0.7027492302445443,0.6981775481504893,24.474771751899894,0.7065305839416902
9,Lasso (LassoCV),0.6208825153999434,0.42895790608216944,0.6998035804340218,0.6951865945901894,24.538091303402673,0.7038556112283773
9,Elastic Net (ElasticNetCV),0.623052884974369,0.4304090482996728,0.6977011667808646,0.6930518460607917,24.617626161936247,0.7018365219131872
9,XGBoost (tuned),0.49824359169261034,0.3224560426664271,0.8066829801374877,0.8037097869682703,17.74120379730075,0.8072985122378967
9,HuberRegressor (robust),0.6108726421485109,0.41422382172446714,0.709405092146922,0.7049357764309412,23.320007047357798,0.7134856360838057
10,Linear Regression,0.6021827599343144,0.41239486840390693,0.7312004766271153,0.7270663713768403,23.096231065651345,0.732909043291254
10,Ridge (RidgeCV),0.6085230382314156,0.4186829175260101,0.7255103909991265,0.7212887728969907,23.51537407394222,0.7273339165902435
10,Lasso (LassoCV),0.618469497480908,0.42635949439824095,0.7164638555963285,0.712103102837121,24.133529582191002,0.7188686484526468
10,Elastic Net (ElasticNetCV),0.618469497480908,0.42635949439824095,0.7164638555963285,0.712103102837121,24.133529582191002,0.7188686484526468
10,XGBoost (tuned),0.4878277077542997,0.3183952682772457,0.8235974794302237,0.8208844292830416,16.837135980084387,0.8249489158227583
10,HuberRegressor (robust),0.6071365313137302,0.4118774090008089,0.7267598035738043,0.7225574012910267,22.40116752852404,0.7297891016568963
11,Linear Regression,0.5856630382233612,0.40359485848869336,0.7405985453217071,0.7366102080726559,23.02004379339729,0.7421247939790427
11,Ridge (RidgeCV),0.5910647137937437,0.4101548547858851,0.735791466232997,0.7317292194038609,23.397471312177842,0.7376794829886362
11,Lasso (LassoCV),0.6008053292030451,0.4199661007424845,0.7270115155711321,0.722814275650639,24.048431381509488,0.7296748033730318
11,Elastic Net (ElasticNetCV),0.6008053292030451,0.4199661007424845,0.7270115155711321,0.722814275650639,24.048431381509488,0.7296748033730318
11,XGBoost (tuned),0.46741351064723,0.3088191485849205,0.8347736541571675,0.8322332736860293,16.84753920544349,0.8353183376782185
11,HuberRegressor (robust),0.5946048784337795,0.4033740132091571,0.7326170496667255,0.7285059956948117,22.614490845646372,0.735430531624819
12,Linear Regression,0.6321277337735276,0.43289208117884254,0.7053278219765047,0.7007971919330931,23.111840929556173,0.7090449790923442
12,Ridge (RidgeCV),0.6379335758263097,0.43585191760678654,0.6998900706087444,0.6952758343019908,23.17109809852388,0.7037303640402981
12,Lasso (LassoCV),0.6496959067926729,0.44616154373638156,0.6887210844980249,0.6839351233125701,24.019974204827015,0.6940325952716692
12,Elastic Net (ElasticNetCV),0.6496959067926729,0.44616154373638156,0.6887210844980249,0.6839351233125701,24.019974204827015,0.6940325952716692
12,XGBoost (tuned),0.5197179850709044,0.33729620284863426,0.8008111907013266,0.7977486321327738,17.007367059275307,0.803023352832528
12,HuberRegressor (robust),0.6427700178590918,0.43258346067199643,0.6953223023898005,0.6906378359443792,22.58138891940483,0.7011222600894268
13,Linear Regression,0.5985709313468613,0.4102375909933107,0.7309051426630666,0.7267664952109452,23.682291346075193,0.7330434679889661
13,Ridge (RidgeCV),0.6075618768728076,0.4194661297311097,0.7227604509379677,0.7184965390791238,24.065063973176446,0.7254449182896443
